Fecha;PM2.5
2018-01-01;70,5
2018-01-02;16,563079583333334
2018-01-03;32,5
2018-01-04;37,130434782608695
2018-01-05;42,72727272727273
2018-01-06;38,0
2018-01-07;26,91304347826087
2018-01-08;31,0
2018-01-09;31,782608695652176
2018-01-10;39,76923076923077
2018-01-11;39,888888888888886
2018-01-12;33,142857142857146
2018-01-13;40,63636363636363
2018-01-14;33,09090909090909
2018-01-15;40,77777777777778
2018-01-16;30,365104347826083
2018-01-17;33,33286375
2018-01-18;24,285714285714285
2018-01-19;25,0
2018-01-20;18,95833333333333
2018-01-21;16,629750833333333
2018-01-22;31,0
2018-01-23;26,791666666666668
2018-01-24;22,45771166666667
2018-01-25;39,458333333333336
2018-01-26;34,18181818181818
2018-01-27;34,63636363636363
2018-01-28;25,625
2018-01-29;33,72727272727273
2018-01-30;32,13636363636363
2018-01-31;35,8235294117647
2018-02-01;44,0
2018-02-02;40,71428571428572
2018-02-03;35,23809523809524
2018-02-04;26,157894736842103
2018-02-05;33,9
2018-02-06;31,375
2018-02-07;38,04166666666666
2018-02-08;37,25
2018-02-09;38,833333333333336
2018-02-10;40,04166666666666
2018-02-11;39,95652173913044
2018-02-12;39,91666666666666
2018-02-13;35,041666666666664
2018-02-14;42,86363636363637
2018-02-15;34,13636363636363
2018-02-16;44,125
2018-02-17;48,47826086956522
2018-02-18;41,0
2018-02-19;35,95454545454545
2018-02-20;47,130434782608695
2018-02-21;62,08695652173913
2018-02-22;60,91304347826087
2018-02-23;49,54545454545455
2018-02-24;42,10526315789474
2018-02-25;37,66666666666666
2018-02-26;43,391304347826086
2018-02-27;44,91304347826087
2018-02-28;44,0
2018-03-01;42,6288875
2018-03-02;50,208333333333336
2018-03-03;44,16666666666666
2018-03-04;38,18181818181818
2018-03-05;50,54545454545455
2018-03-06;69,7
2018-03-07;50,09090909090909
2018-03-08;39,91666666666666
2018-03-09;21,87398333333333
2018-03-10;26,26315789473684
2018-03-11;21,33333333333333
2018-03-12;36,54166666666666
2018-03-13;46,125
2018-03-14;38,21052631578947
2018-03-15;50,73913043478261
2018-03-16;44,66666666666666
2018-03-17;39,391304347826086
2018-03-18;36,57880909090909
2018-03-19;41,36363636363637
2018-03-20;54,142857142857146
2018-03-21;55,42857142857143
2018-03-22;57,94736842105263
2018-03-23;49,833333333333336
2018-03-24;44,0
2018-03-25;32,25
2018-03-26;39,66666666666666
2018-03-27;41,0
2018-03-28;44,0
2018-03-29;36,266666666666666
2018-03-30;20,454545454545453
2018-03-31;22,166666666666668
2018-04-01;20,666666666666668
2018-04-02;28,541666666666668
2018-04-03;34,333333333333336
2018-04-04;32,041666666666664
2018-04-05;36,333333333333336
2018-04-06;30,956521739130437
2018-04-07;32,375
2018-04-08;29,38095238095238
2018-04-09;35,08695652173913
2018-04-10;35,3
2018-04-11;35,208333333333336
2018-04-12;30,17391304347826
2018-04-13;34,833333333333336
2018-04-14;35,708333333333336
2018-04-15;37,36842105263158
2018-04-16;29,857142857142858
2018-04-17;31,916666666666668
2018-04-18;32,041666666666664
2018-04-19;19,332104166666667
2018-04-20;26,6422
2018-04-21;30,125
2018-04-22;22,625
2018-04-23;23,869565217391305
2018-04-24;27,95833333333333
2018-04-25;22,166666666666668
2018-04-26;24,75
2018-04-27;37,71428571428572
2018-04-28;37,69565217391305
2018-04-29;24,40548
2018-04-30;29,91304347826087
2018-05-01;20,954545454545453
2018-05-02;29,83333333333333
2018-05-03;33,36363636363637
2018-05-04;27,5
2018-05-05;38,66666666666666
2018-05-06;23,63636363636364
2018-05-07;31,82608695652174
2018-05-08;23,416666666666668
2018-05-09;30,416666666666668
2018-05-10;34,04545454545455
2018-05-11;44,66666666666666
2018-05-12;39,41666666666666
2018-05-13;22,3958575
